Source,Target
Alan Nunez Aguilera,Adam El Mihdawy
Gonzalo Escobar,Henrique Cunha
Marcelo Arevalo,Austin Krajicek
Michal Przysiezny,Nicolas Barrientos
Renzo Olivo,Giovanni Lapentti
Andres Molteni,Guido Pella
Kevin Jack Carpenter,Alejandro Falla
Lucas Gomez,Adrian Menendez Maceiras
Nils Langer,Gerald Melzer
Rajeev Ram,Daniel Nguyen
Eduardo Struvay,Horacio Zeballos
Chase Buchanan,Adam El Mihdawy
Henrique Cunha,Austin Krajicek
Nicolas Barrientos,Giovanni Lapentti
Guido Pella,Alejandro Falla
Gerald Melzer,Adrian Menendez Maceiras
Daniel Nguyen,Horacio Zeballos
Adam El Mihdawy,Austin Krajicek
Giovanni Lapentti,Alejandro Falla
Horacio Zeballos,Adrian Menendez Maceiras
Alejandro Falla,Austin Krajicek
Adrian Menendez Maceiras,Austin Krajicek
Mikhail Kukushkin,Alex Kuznetsov
Connor Smith,Chase Buchanan
Nicolas Meister,Marco Trungelliti
Gastao Elias,Maxime Tchoutakian
James Mcgee,Tim Smyczek
Rhyne Williams,Ryan Harrison
Eduardo Struvay,John Patrick Smith
Liam Broady,Denis Kudla
Thai Son Kwiatkowski,Rajeev Ram
Cameron Norrie,Eric Quigley
Denys Molchanov,Agustin Velotti
Blaz Rola,Andrey Rublev
Dennis Novikov,Victor Hanescu
Ryan Sweeting,Guido Andreozzi
Dimitar Kutrovsky,Jason Jung
Daniel Nguyen,Teymuraz Gabashvili
Chase Buchanan,Alex Kuznetsov
Maxime Tchoutakian,Marco Trungelliti
Ryan Harrison,Tim Smyczek
Denis Kudla,John Patrick Smith
Eric Quigley,Rajeev Ram
Agustin Velotti,Andrey Rublev
Victor Hanescu,Guido Andreozzi
Jason Jung,Teymuraz Gabashvili
Alex Kuznetsov,Marco Trungelliti
John Patrick Smith,Tim Smyczek
Andrey Rublev,Rajeev Ram
Guido Andreozzi,Teymuraz Gabashvili
Marco Trungelliti,Tim Smyczek
Teymuraz Gabashvili,Rajeev Ram
Rajeev Ram,Tim Smyczek
Hubert Hurkacz,Ricardas Berankis
Michal Dembek,Kamil Majchrzak
Maximilian Marterer,Marton Fucsovics
Jozef Kovalik,Illya Marchenko
Aleksandr Nedovyesov,Jan Mertl
Mate Delic,Andriej Kapas
Laslo Djere,Mirza Basic
Matthias Bachinger,Jesse Huta Galung
Axel Michon,Michael Berrer
Frank Dancevic,Jurgen Zopp
Martin Fischer,Jan Hernych
Philipp Petzschner,Farrukh Dustov
Niels Desein,Andrej Martin
Frederik Nielsen,Konstantin Kravchuk
Lukasz Kubot,Andrea Arnaboldi
Michal Przysiezny,Steve Darcis
Kamil Majchrzak,Ricardas Berankis
Marton Fucsovics,Illya Marchenko
Andriej Kapas,Jan Mertl
Jesse Huta Galung,Mirza Basic
Jurgen Zopp,Michael Berrer
Jan Hernych,Farrukh Dustov
Andrej Martin,Konstantin Kravchuk
Andrea Arnaboldi,Steve Darcis
Illya Marchenko,Ricardas Berankis
Jan Mertl,Mirza Basic
Michael Berrer,Farrukh Dustov
Konstantin Kravchuk,Steve Darcis
Ricardas Berankis,Mirza Basic
Steve Darcis,Farrukh Dustov
Mirza Basic,Farrukh Dustov
Marc Polmans,Yuichi Sugita
Blake Mott,Bjorn Fratangelo
Gavin Van Peperzeel,Dayne Kelly
Matthew Ebden,Bradley Klahn
Kyle Edmund,Matthew Barton
Alex Bolt,Ze Zhang
Finn Tearney,Jose Rubin Statham
Di Wu,Radu Albot
Matt Reid,Hyeon Chung
Omar Jasika,Mitchell Krueger
Sanam Singh,Brydan Klein
Hiroki Moriya,Harry Bourchier
Andrew Whittington,Luke Saville
Yuuya Kibi,Jordan Thompson
Maverick Banes,Benjamin Mitchell
Somdev Devvarman,Christopher Oconnell
Yuichi Sugita,Bjorn Fratangelo
Dayne Kelly,Bradley Klahn
Matthew Barton,Ze Zhang
Radu Albot,Jose Rubin Statham
Mitchell Krueger,Hyeon Chung
Brydan Klein,Harry Bourchier
Luke Saville,Jordan Thompson
Christopher Oconnell,Benjamin Mitchell
Bradley Klahn,Bjorn Fratangelo
Jose Rubin Statham,Ze Zhang
Harry Bourchier,Hyeon Chung
Benjamin Mitchell,Jordan Thompson
Ze Zhang,Bjorn Fratangelo
Jordan Thompson,Hyeon Chung
Hyeon Chung,Bjorn Fratangelo
Jose Hernandez,Patricio Heras
Inigo Cervantes Huegun,Nicolas Jarry
Juan Ignacio Londero,Bastian Trinker
Benjamin Balleret,Damir Dzumhur
Thomas Fabbiano,Horacio Zeballos
Gianni Mina,Christian Garin
Hans Podlipnik Castillo,Gonzalo Lama
Connor Smith,Gerald Melzer
Jason Kubler,Emilio Gomez
Jordi Samper Montana,Hugo Dellien
Ruben Ramirez Hidalgo,Antal Van Der Duim
Andres Molteni,Gastao Elias
Evgeny Donskoy,Roberto Carballes Baena
Gonzalo Escobar,Yannick Mertens
Jose Olivares,Daniel Munoz De La Nava
Albert Montanes,Renzo Olivo
Patricio Heras,Nicolas Jarry
Bastian Trinker,Damir Dzumhur
Horacio Zeballos,Christian Garin
Gonzalo Lama,Gerald Melzer
Emilio Gomez,Hugo Dellien
Antal Van Der Duim,Gastao Elias
Yannick Mertens,Roberto Carballes Baena
Daniel Munoz De La Nava,Renzo Olivo
Nicolas Jarry,Damir Dzumhur
Gerald Melzer,Christian Garin
Hugo Dellien,Gastao Elias
Roberto Carballes Baena,Renzo Olivo
Christian Garin,Damir Dzumhur
Gastao Elias,Renzo Olivo
Renzo Olivo,Damir Dzumhur
Roberto Carballes Baena,Filip Krajinovic
Adam Pavlasek,Mirza Basic
Baris Erguden,Anil Yuksel
Nikoloz Basilashvili,Constant Lestienne
Maxime Hamou,Marsel Ilhan
Andrej Martin,Aslan Karatsev
Enzo Couacaud,Jozef Kovalik
Ruben Ramirez Hidalgo,Victor Hanescu
Radu Albot,Taro Daniel
Efe Yurtacan,Tristan Lamasine
Matteo Viola,Kimmer Coppejans
Tobias Kamke,Evgeny Donskoy
Alexander Kudryavtsev,Inigo Cervantes Huegun
Aldin Setkic,Mate Delic
Miloslav Mecir,Antonio Veic
Cem Ilkel,Damir Dzumhur
Mirza Basic,Filip Krajinovic
Anil Yuksel,Constant Lestienne
Aslan Karatsev,Marsel Ilhan
Jozef Kovalik,Victor Hanescu
Tristan Lamasine,Taro Daniel
Evgeny Donskoy,Kimmer Coppejans
Mate Delic,Inigo Cervantes Huegun
Damir Dzumhur,Antonio Veic
Constant Lestienne,Filip Krajinovic
Victor Hanescu,Marsel Ilhan
Taro Daniel,Kimmer Coppejans
Antonio Veic,Inigo Cervantes Huegun
Filip Krajinovic,Marsel Ilhan
Inigo Cervantes Huegun,Kimmer Coppejans
Marsel Ilhan,Kimmer Coppejans
Marco Cecchinato,Jeremy Chardy
James Ward,Steve Darcis
Tobias Kamke,Kyle Edmund
Gastao Elias,Diego Sebastian Schwartzman
Dudi Sela,Dominic Thiem
Rajeev Ram,Aljaz Bedene
Marinko Matosevic,Paul Henri Mathieu
Dustin Brown,Marcos Baghdatis
Thomaz Bellucci,Sergiy Stakhovsky
Jan Lennard Struff,Tim Smyczek
Johannes Schretter,Damir Dzumhur
Farrukh Dustov,Benjamin Becker
Edouard Roger Vasselin,Jerzy Janowicz
Bjorn Fratangelo,Alexander Zverev
Michael Russell,Denis Kudla
Pablo Andujar,Gilles Muller
Jeremy Chardy,Steve Darcis
Diego Sebastian Schwartzman,Kyle Edmund
Dominic Thiem,Aljaz Bedene
Paul Henri Mathieu,Marcos Baghdatis
Sergiy Stakhovsky,Tim Smyczek
Damir Dzumhur,Benjamin Becker
Jerzy Janowicz,Alexander Zverev
Denis Kudla,Gilles Muller
Steve Darcis,Kyle Edmund
Marcos Baghdatis,Aljaz Bedene
Benjamin Becker,Tim Smyczek
Alexander Zverev,Gilles Muller
Kyle Edmund,Aljaz Bedene
Gilles Muller,Tim Smyczek
Tim Smyczek,Aljaz Bedene
Zdenek Kolar,Lucas Pouille
Jaroslav Pospisil,Arthur De Greef
Patrik Rikl,Adam Pavlasek
Peter Torebko,Maxime Authom
Marek Michalicka,Daniel Munoz De La Nava
Grzegorz Panfil,Laslo Djere
Uladzimir Ignatik,Hans Podlipnik Castillo
Denys Molchanov,Enzo Couacaud
Miloslav Mecir,Ruben Ramirez Hidalgo
Pascal Brunner,Mathias Bourgue
Thomas Fabbiano,Jozef Kovalik
David Poljak,Mate Delic
Jan Mertl,Andrej Martin
Yannick Mertens,Pedro Cachin
Dominik Kellovsky,Inigo Cervantes Huegun
Dusan Lojda,James Ward
Arthur De Greef,Lucas Pouille
Maxime Authom,Adam Pavlasek
Laslo Djere,Daniel Munoz De La Nava
Enzo Couacaud,Hans Podlipnik Castillo
Mathias Bourgue,Ruben Ramirez Hidalgo
Mate Delic,Jozef Kovalik
Pedro Cachin,Andrej Martin
James Ward,Inigo Cervantes Huegun
Lucas Pouille,Adam Pavlasek
Hans Podlipnik Castillo,Daniel Munoz De La Nava
Jozef Kovalik,Ruben Ramirez Hidalgo
Andrej Martin,Inigo Cervantes Huegun
Daniel Munoz De La Nava,Adam Pavlasek
Ruben Ramirez Hidalgo,Inigo Cervantes Huegun
Adam Pavlasek,Inigo Cervantes Huegun
Antonio Veic,Jarkko Nieminen
Ristomatti Lanne,Anton Pavlov
Frederico Ferreira Silva,Harri Heliovaara
Dennis Novak,Jurgen Zopp
Jurgen Melzer,Tristan Lamasine
Riccardo Bellotti,Pedja Krstin
Javier Marti,Jan Satral
Jose Checa Calvo,Calvin Hemery
Germain Gigounon,Maxime Hamou
Gianni Mina,Micke Kontinen
Alexis Musialek,Henri Laaksonen
Jonathan Eysseric,Andre Ghem
Axel Michon,Andreas Beck
Tomislav Brkic,Patrik Niklas Salminen
Henrik Sillanpaa,Alexander Vasilenko
Rui Machado,Vladimir Ivanov
Anton Pavlov,Jarkko Nieminen
Harri Heliovaara,Jurgen Zopp
Pedja Krstin,Tristan Lamasine
Calvin Hemery,Jan Satral
Micke Kontinen,Maxime Hamou
Henri Laaksonen,Andre Ghem
Patrik Niklas Salminen,Andreas Beck
Alexander Vasilenko,Vladimir Ivanov
Jurgen Zopp,Jarkko Nieminen
Jan Satral,Tristan Lamasine
Maxime Hamou,Andre Ghem
Andreas Beck,Vladimir Ivanov
Jarkko Nieminen,Tristan Lamasine
Vladimir Ivanov,Andre Ghem
Andre Ghem,Tristan Lamasine
Petros Chrysochos,Adrian Menendez Maceiras
Mohit Mayur Jayaprakash,Prajnesh Gunneswaran
Suraj R Prabodh,Arthur De Greef
Temur Ismailov,Ti Chen
Nikola Milojevic,Saketh Myneni
Gerard Granollers,Dane Propoggia
Sidharth Rawat,Sumit Nagal
N Vijay Sundar Prashanth,Yannick Mertens
Michal Konecny,Alexander Kudryavtsev
Stephane Robert,Daniel Nguyen
Maxime Janvier,Alessandro Bega
Maximilian Neuchrist,Somdev Devvarman
Germain Gigounon,Sanam Singh
Ramkumar Ramanathan,Egor Gerasimov
Vishnu Vardhan,Ilya Ivashka
Lakshit Sood,James Ward
Prajnesh Gunneswaran,Adrian Menendez Maceiras
Ti Chen,Arthur De Greef
Dane Propoggia,Saketh Myneni
Sumit Nagal,Yannick Mertens
Alexander Kudryavtsev,Daniel Nguyen
Somdev Devvarman,Alessandro Bega
Egor Gerasimov,Sanam Singh
Ilya Ivashka,James Ward
Arthur De Greef,Adrian Menendez Maceiras
Yannick Mertens,Saketh Myneni
Alessandro Bega,Daniel Nguyen
Sanam Singh,James Ward
Saketh Myneni,Adrian Menendez Maceiras
Daniel Nguyen,James Ward
Adrian Menendez Maceiras,James Ward
Liam Broady,Malek Jaziri
Guido Andreozzi,Denis Kudla
John Patrick Smith,Ante Pavic
Kimmer Coppejans,Mirza Basic
Maxime Authom,Blaz Rola
Luke Bambridge,James Mcgee
Cameron Norrie,Yuki Bhambri
Adrian Menendez Maceiras,Joshua Milton
John Millman,Matthew Ebden
Luke Saville,Jimmy Wang
Niels Desein,Yoshihito Nishioka
Michal Przysiezny,Andrey Kuznetsov
Aslan Karatsev,Ivan Dodig
Hiroki Moriya,Alex Bolt
Marcus Willis,Grega Zemlja
Elias Ymer,Dudi Sela
Malek Jaziri,Denis Kudla
Ante Pavic,Mirza Basic
Blaz Rola,James Mcgee
Yuki Bhambri,Joshua Milton
Jimmy Wang,Matthew Ebden
Yoshihito Nishioka,Andrey Kuznetsov
Alex Bolt,Ivan Dodig
Grega Zemlja,Dudi Sela
Mirza Basic,Denis Kudla
Joshua Milton,James Mcgee
Andrey Kuznetsov,Matthew Ebden
Dudi Sela,Ivan Dodig
James Mcgee,Denis Kudla
Ivan Dodig,Matthew Ebden
Matthew Ebden,Denis Kudla
Tatsuma Ito,Nicolas Meister
Jason Jung,Dennis Nevolo
Dimitar Kutrovsky,Matija Pecotic
Francis Tiafoe,Somdev Devvarman
Alexander Sarkissian,Blaz Kavcic
Tom Fawcett,Marcos Giron
Saketh Myneni,Frank Dancevic
Stefan Kozlov,Ryan Harrison
Connor Smith,Jared Hiltzik
Tennys Sandgren,Ernesto Escobedo
Alex Kuznetsov,Adrien Bossel
Erik Crepaldi,Austin Krajicek
Mackenzie Mcdonald,Andrew Whittington
Henrique Cunha,Daniel Nguyen
Alex Bolt,Mitchell Krueger
Benjamin Mitchell,Illya Marchenko
Dennis Nevolo,Nicolas Meister
Matija Pecotic,Somdev Devvarman
Marcos Giron,Blaz Kavcic
Frank Dancevic,Ryan Harrison
Ernesto Escobedo,Jared Hiltzik
Austin Krajicek,Adrien Bossel
Andrew Whittington,Daniel Nguyen
Illya Marchenko,Mitchell Krueger
Nicolas Meister,Somdev Devvarman
Blaz Kavcic,Ryan Harrison
Jared Hiltzik,Adrien Bossel
Mitchell Krueger,Daniel Nguyen
Ryan Harrison,Somdev Devvarman
Adrien Bossel,Daniel Nguyen
Daniel Nguyen,Somdev Devvarman
Blaz Kavcic,Hans Podlipnik Castillo
Djordje Djokovic,Peter Vajda
Ivo Klec,Pere Riba
Pedja Krstin,Uladzimir Ignatik
Facundo Arguello,Marek Michalicka
Tomas Lipovsek Puches,Peter Torebko
Kamil Majchrzak,Andrej Martin
Dennis Novak,Norbert Gombos
Toni Androic,Gerald Melzer
Juan Carlos Saez,Antonio Veic
Juraj Simcak,Filip Horansky
Jan Mertl,Andre Ghem
Jozef Kovalik,Jan Satral
Dominik Sproch,Fabiano De Paula
Dusan Lojda,Riccardo Bellotti
Aleksandr Nedovyesov,Adam Pavlasek
Peter Vajda,Hans Podlipnik Castillo
Pere Riba,Uladzimir Ignatik
Marek Michalicka,Peter Torebko
Andrej Martin,Norbert Gombos
Gerald Melzer,Antonio Veic
Filip Horansky,Andre Ghem
Fabiano De Paula,Jan Satral
Riccardo Bellotti,Adam Pavlasek
Uladzimir Ignatik,Hans Podlipnik Castillo
Peter Torebko,Norbert Gombos
Antonio Veic,Andre Ghem
Jan Satral,Adam Pavlasek
Norbert Gombos,Hans Podlipnik Castillo
Andre Ghem,Adam Pavlasek
Hans Podlipnik Castillo,Adam Pavlasek
Salvatore Caruso,Pablo Carreno Busta
Nicolas Barrientos,Gianluca Mager
Lorenzo Giustino,Oriol Roca Batalla
Andrea Collarini,Jose Hernandez
Nils Langer,Marco Cecchinato
Jules Marie,Gianluca Naso
Marc Giner,Stefano Travaglia
Hugo Dellien,Ruben Ramirez Hidalgo
Adelchi Virgili,Roberto Marcora
Jesse Witten,Filippo Volandri
Andres Molteni,Tsung Hua Yang
Mitchell Krueger,Bjorn Fratangelo
Adrian Sikora,Roberto Carballes Baena
Jose Checa Calvo,Tomislav Brkic
Flavio Cipolla,Christian Garin
Carlos Berlocq,Matteo Viola
Gianluca Mager,Pablo Carreno Busta
Oriol Roca Batalla,Jose Hernandez
Gianluca Naso,Marco Cecchinato
Stefano Travaglia,Ruben Ramirez Hidalgo
Roberto Marcora,Filippo Volandri
Bjorn Fratangelo,Tsung Hua Yang
Tomislav Brkic,Roberto Carballes Baena
Christian Garin,Matteo Viola
Jose Hernandez,Pablo Carreno Busta
Ruben Ramirez Hidalgo,Marco Cecchinato
Tsung Hua Yang,Filippo Volandri
Roberto Carballes Baena,Matteo Viola
Marco Cecchinato,Pablo Carreno Busta
Filippo Volandri,Matteo Viola
Matteo Viola,Pablo Carreno Busta
Lorenzo Giustino,Federico Delbonis
Stefanos Tsitsipas,Giulio Di Meo
Gianluca Mager,Javier Marti
Alessandro Giannessi,Albert Montanes
Ruben Ramirez Hidalgo,Dusan Lajovic
Roberto Carballes Baena,Matteo Viola
Flavio Cipolla,Pere Riba
Taro Daniel,Uladzimir Ignatik
Matteo Berrettini,Inigo Cervantes Huegun
Miljan Zekic,Filippo Volandri
Salvatore Caruso,Gianluca Naso
Andrej Martin,Marco Cecchinato
Pedro Cachin,Filip Krajinovic
Calvin Hemery,Marton Fucsovics
Riccardo Bonadio,Thiemo De Bakker
Federico Gaio,Daniel Gimeno Traver
Giulio Di Meo,Federico Delbonis
Javier Marti,Albert Montanes
Matteo Viola,Dusan Lajovic
Uladzimir Ignatik,Pere Riba
Filippo Volandri,Inigo Cervantes Huegun
Gianluca Naso,Marco Cecchinato
Marton Fucsovics,Filip Krajinovic
Daniel Gimeno Traver,Thiemo De Bakker
Albert Montanes,Federico Delbonis
Pere Riba,Dusan Lajovic
Inigo Cervantes Huegun,Marco Cecchinato
Thiemo De Bakker,Filip Krajinovic
Dusan Lajovic,Federico Delbonis
Marco Cecchinato,Filip Krajinovic
Filip Krajinovic,Federico Delbonis
Paolo Lorenzi,Daniel Munoz De La Nava
Paolo Lorenzi,Inigo Cervantes Huegun
Farrukh Dustov,Paolo Lorenzi
Daniel Munoz De La Nava,Inigo Cervantes Huegun
Farrukh Dustov,Daniel Munoz De La Nava
Farrukh Dustov,Inigo Cervantes Huegun
Guido Pella,Marco Cecchinato
Radu Albot,Guido Pella
Guilherme Clezar,Guido Pella
Marco Cecchinato,Radu Albot
Marco Cecchinato,Guilherme Clezar
Radu Albot,Guilherme Clezar
Guilherme Clezar,Inigo Cervantes Huegun
Guido Pella,Daniel Munoz De La Nava
Daniel Munoz De La Nava,Inigo Cervantes Huegun
Michal Przysiezny,Donald Young
Yuichi Sugita,Hiroki Moriya
Ti Chen,Nicolas Mahut
Shuichi Sekiguchi,Austin Krajicek
Jarkko Nieminen,Mikhail Youzhny
Hiroyasu Ehara,Pierre Hugues Herbert
Nikoloz Basilashvili,Matthew Ebden
Takuto Niki,Go Soeda
Hiroki Moriya,Donald Young
Nicolas Mahut,Austin Krajicek
Pierre Hugues Herbert,Mikhail Youzhny
Go Soeda,Matthew Ebden
Vadim Alekseenko,Nicolas Almagro
Fred Simonsson,Mate Pavic
Isak Arvidsson,Peter Torebko
Chris Guccione,Maximilian Marterer
Filip Veger,Filip Krajinovic
Dmytro Badanov,Carl Soderlund
Marc Giner,Milos Sekulic
Adrien Bossel,Bernabe Zapata Miralles
Marius Copil,Jesse Huta Galung
Magnus Eriksson,Ante Pavic
Jacob Adaktusson,Philipp Petzschner
Jonathan Mridha,Federico Gaio
Christoffer Solberg,Mischa Zverev
Joshua Milton,Michael Venus
Lucas Renard,Filip Horansky
Markus Eriksson,Marton Fucsovics
Mate Pavic,Nicolas Almagro
Peter Torebko,Maximilian Marterer
Carl Soderlund,Filip Krajinovic
Bernabe Zapata Miralles,Milos Sekulic
Jesse Huta Galung,Ante Pavic
Philipp Petzschner,Federico Gaio
Michael Venus,Mischa Zverev
Filip Horansky,Marton Fucsovics
Nicolas Almagro,Maximilian Marterer
Milos Sekulic,Filip Krajinovic
Federico Gaio,Ante Pavic
Marton Fucsovics,Mischa Zverev
Santiago Gonzalez,Filippo Leonardi
Andre Sa,Matteo Trevisan
Fran Zvonimir Zgombic,Franco Skugor
Mike Urbanija,Wilson Leite
Denis Bejtulahi,Agustin Velotti
Stjepan Cagalj,Thomas Fabbiano
Domagoj Biljesko,Dmitry Surchenko
Patrik Sudic,Mladen Mitak
Matteo Viola,Bastian Trinker
Pietro Licciardi,Nikola Mektic
Viktor Galovic,Michael Linzer
Sherif Sabry,Roberto Marcora
Filippo Leonardi,Facundo Bagnis
Franco Skugor,Matteo Trevisan
Wilson Leite,Maximo Gonzalez
Agustin Velotti,Thomas Fabbiano
Dmitry Surchenko,Gerald Melzer
Mladen Mitak,Bastian Trinker
Nikola Mektic,Laslo Djere
Michael Linzer,Roberto Marcora
Facundo Bagnis,Matteo Trevisan
Maximo Gonzalez,Thomas Fabbiano
Gerald Melzer,Bastian Trinker
Roberto Marcora,Laslo Djere
Marco Cecchinato,Benoit Paire
Tommy Paul,Denis Kudla
James Duckworth,Steve Johnson
Francis Tiafoe,Nicolas Mahut
Tatsuma Ito,Vasek Pospisil
Ivan Dodig,Hyeon Chung
Mikhail Kukushkin,Mikhail Youzhny
Stefan Kozlov,Yen Hsun Lu
Nikoloz Basilashvili,Marsel Ilhan
Ryan Harrison,Thanasi Kokkinakis
Tim Smyczek,Santiago Giraldo
James Ward,Alexandr Dolgopolov
Benjamin Becker,Alexander Zverev
Blaz Rola,Denis Istomin
Benoit Paire,Denis Kudla
Steve Johnson,Nicolas Mahut
Hyeon Chung,Vasek Pospisil
Mikhail Youzhny,Yen Hsun Lu
Marsel Ilhan,Thanasi Kokkinakis
Santiago Giraldo,Alexandr Dolgopolov
Denis Istomin,Alexander Zverev
Zhuoyang Qiu,Donald Young
Yecong He,Andrey Kuznetsov
Teymuraz Gabashvili,Hyeon Chung
Fajing Sun,Go Soeda
Matteo Donati,Simone Bolelli
Rajeev Ram,Michal Przysiezny
Matthew Ebden,Nicolas Mahut
Yoshihito Nishioka,Yen Hsun Lu
Lucas Pouille,Lukasz Kubot
Woong Sun Jun,Pierre Hugues Herbert
Zhizhen Zhang,Albert Ramos
Mao Xin Gong,Michael Berrer
Shuichi Sekiguchi,Nikoloz Basilashvili
Danai Udomchoke,Austin Krajicek
Donald Young,Andrey Kuznetsov
Hyeon Chung,Go Soeda
Michal Przysiezny,Simone Bolelli
Nicolas Mahut,Yen Hsun Lu
Pierre Hugues Herbert,Lukasz Kubot
Michael Berrer,Albert Ramos
Austin Krajicek,Nikoloz Basilashvili
Gregoire Barrere,Aljaz Bedene
Ivan Dodig,Jerzy Janowicz
Donald Young,Kenny De Schepper
Quentin Halys,Marcel Granollers
Inigo Cervantes Huegun,Teymuraz Gabashvili
Radu Albot,Lukas Rosol
Federico Delbonis,Rajeev Ram
Michael Berrer,Pablo Carreno Busta
Robin Haase,Jan Lennard Struff
Sergiy Stakhovsky,Edouard Roger Vasselin
Albert Ramos,Paul Henri Mathieu
Daniel Gimeno Traver,Dusan Lajovic
Jerzy Janowicz,Aljaz Bedene
Kenny De Schepper,Marcel Granollers
Teymuraz Gabashvili,Lukas Rosol
Rajeev Ram,Pablo Carreno Busta
Jan Lennard Struff,Edouard Roger Vasselin
Paul Henri Mathieu,Dusan Lajovic
Eduard Guell Bartrina,James Ward
Javier Marti,Rui Machado
David Marrero,Norbert Gombos
Jesse Huta Galung,Andrey Rublev
Richard Becker,Thiemo De Bakker
Jaume Pla Malfeito,Peter Torebko
Marek Michalicka,Kenny De Schepper
Gerard Granollers,Marton Fucsovics
Juan Lizariturry,Yuichi Sugita
Miloslav Mecir,Oriol Roca Batalla
Daniel Munoz De La Nava,Jaume Munar
Jaroslav Pospisil,Pedro Cachin
Rui Machado,James Ward
Norbert Gombos,Andrey Rublev
Peter Torebko,Thiemo De Bakker
Kenny De Schepper,Marton Fucsovics
Oriol Roca Batalla,Yuichi Sugita
Pedro Cachin,Jaume Munar
Dragos Dima,Blaz Kavcic
Andriej Kapas,Efe Yurtacan
Aleksandre Metreveli,Philipp Oswald
Tuna Altuna,Marton Fucsovics
Aldin Setkic,Teymuraz Gabashvili
Sarp Agabigun,Fedor Chervyakov
Dimitar Kuzmanov,Michael Venus
Altug Celikbilek,Radu Albot
Barkin Yalcinkale,Thanasi Kokkinakis
Jurgen Zopp,Nikola Mektic
Daniel Cox,Lorenzo Giustino
Thiemo De Bakker,Roberto Marcora
Mate Pavic,Aleksandr Nedovyesov
Petru Alexandru Luncanu,Michael Linzer
Benjamin Balleret,Evgeny Donskoy
Vadim Alekseenko,John Millman
Efe Yurtacan,Blaz Kavcic
Philipp Oswald,Marton Fucsovics
Fedor Chervyakov,Teymuraz Gabashvili
Michael Venus,Radu Albot
Nikola Mektic,Thanasi Kokkinakis
Roberto Marcora,Lorenzo Giustino
Michael Linzer,Aleksandr Nedovyesov
John Millman,Evgeny Donskoy
Marton Fucsovics,Blaz Kavcic
Radu Albot,Teymuraz Gabashvili
Lorenzo Giustino,Thanasi Kokkinakis
Evgeny Donskoy,Aleksandr Nedovyesov
Kimmer Coppejans,Vincent Millot
Jason Jung,Marius Copil
Jarmere Jenkins,Evgeny Donskoy
Andrej Martin,Edouard Roger Vasselin
Richard Gabb,Andrey Kuznetsov
Adam Pavlasek,Andreas Beck
James Mcgee,Tobias Kamke
Taro Daniel,Alejandro Falla
Roberto Marcora,Guido Pella
Tsung Hua Yang,Ze Zhang
Guilherme Clezar,Boy Westerhof
Thomas Fabbiano,Elias Ymer
Giovanni Lapentti,Tatsuma Ito
Jesse Huta Galung,Hiroki Moriya
Yuki Bhambri,Matteo Donati
Andre Ghem,Yoshihito Nishioka
Maxime Hamou,Luca Vanni
Karen Khachanov,Konstantin Kravchuk
Nicolas Jarry,Luke Saville
Ante Pavic,Thiemo De Bakker
Gerald Melzer,Jurgen Melzer
Roberto Carballes Baena,Igor Sijsling
Nicolas Kicker,Julian Reister
Dennis Novikov,Paul Henri Mathieu
Daniel Munoz De La Nava,Edward Corrie
Somdev Devvarman,Inigo Cervantes Huegun
Hans Podlipnik Castillo,Pierre Hugues Herbert
Gianni Mina,Facundo Arguello
Daniel Cox,Matthias Bachinger
Jaroslav Pospisil,Daniel Evans
Alexander Ward,Yuichi Sugita
Germain Gigounon,Michal Przysiezny
Maximo Gonzalez,Marton Fucsovics
Remi Boutillier,Benjamin Mitchell
Victor Hanescu,Nikoloz Basilashvili
Richard Bloomfield,Farrukh Dustov
Alejandro Gonzalez,Matteo Viola
Jose Hernandez,Jan Mertl
Maxime Authom,John Patrick Smith
Amir Weintraub,Bjorn Fratangelo
Tim Puetz,Adrian Menendez Maceiras
Pedro Cachin,Jimmy Wang
Jan Hernych,Joshua Milton
Frank Dancevic,Michael Berrer
Adrian Ungur,Dustin Brown
Aldin Setkic,Aslan Karatsev
Renzo Olivo,Andrea Arnaboldi
Ryan Harrison,Guido Andreozzi
Austin Krajicek,Yannick Mertens
Alexander Kudryavtsev,Mathias Bourgue
Rui Machado,Jason Kubler
Mirza Basic,Aleksandr Nedovyesov
Jared Donaldson,Ivan Dodig
Jozef Kovalik,Andrey Rublev
Pedro Sousa,Gastao Elias
Pere Riba,Horacio Zeballos
Christian Lindell,John Millman
Chase Buchanan,Tristan Lamasine
Niels Desein,Enzo Couacaud
Albert Montanes,Marco Chiudinelli
Radu Albot,Kenny De Schepper
Peter Gojowczyk,Saketh Myneni
Ti Chen,Jurgen Zopp
Norbert Gombos,Stephane Robert
Marius Copil,Vincent Millot
Evgeny Donskoy,Edouard Roger Vasselin
Andrey Kuznetsov,Andreas Beck
Tobias Kamke,Alejandro Falla
Ze Zhang,Guido Pella
Boy Westerhof,Elias Ymer
Tatsuma Ito,Hiroki Moriya
Yoshihito Nishioka,Matteo Donati
Konstantin Kravchuk,Luca Vanni
Thiemo De Bakker,Luke Saville
Jurgen Melzer,Igor Sijsling
Julian Reister,Paul Henri Mathieu
Edward Corrie,Inigo Cervantes Huegun
Facundo Arguello,Pierre Hugues Herbert
Matthias Bachinger,Daniel Evans
Michal Przysiezny,Yuichi Sugita
Benjamin Mitchell,Marton Fucsovics
